bp_int_ref,bp_name,bp_type
AG01,Ano Gems Co. Ltd,SUPP
BP01,Bass Premier,SUPP
CG01,Carats & Grams Co. Ltd,SUPP
GF01,GF Williams ,SUPP
GR01,Groh + Ripp Ohg,SUPP
JH01,Jin Hai Pearls Co. Ltd,SUPP
KD01,KD Kothari & Co,SUPP
KG01,KGK Gems Ltd,SUPP
MG01,Mikisa Gems Bvba,SUPP
NO01,Nomad's Ltd,SUPP
PC01,Plum Colors,SUPP
PS01,Precious Stones Co. Ltd,SUPP
RZ01,Rubin & Zonen,SUPP
SG01,Sangmanee,SUPP
SA01,Sant Enterprises Co. Ltd,SUPP
SI01,Singapore Gems Co. Ltd,SUPP
SG01,STD Gems,SUPP
TG01,Takat Gems SR Ltd,SUPP
TD01,TDP Diamonds UK Ltd,SUPP
